file,true_label,pred_prob,pred_label
1051.npy,1,3.375265805516392e-06,1
1052.npy,1,4.307417839299887e-06,1
1053.npy,1,5.9303365560481325e-06,1
1054.npy,1,3.5287466744193807e-06,1
1055.npy,1,3.338137503305916e-06,1
1056.npy,1,6.390639100573026e-06,1
1058.npy,1,3.751415988517692e-06,1
1059.npy,1,5.399417204898782e-06,1
1061.npy,1,2.626822379170335e-06,1
1062.npy,1,4.400135367177427e-06,1
1064.npy,1,3.4907304780062987e-06,1
1065.npy,0,3.4663198675843887e-06,1
1067.npy,0,2.987660764119937e-06,1
1068.npy,1,3.836675205093343e-06,1
1069.npy,1,5.889831754757324e-06,1
1070.npy,1,3.4133124700019835e-06,1
1072.npy,1,3.3145392990263645e-06,1
1074.npy,0,3.101734364463482e-06,1
1075.npy,1,4.500383965932997e-06,1
1077.npy,0,4.500848262978252e-06,1
1078.npy,0,5.329886334948242e-06,1
1080.npy,1,5.515953489521053e-06,1
1081.npy,0,4.922102561977226e-06,1
1082.npy,1,3.858710442727897e-06,1
1083.npy,1,3.903411197825335e-06,1
1084.npy,0,3.5416155697021168e-06,1
1086.npy,1,4.797403107659193e-06,1
1087.npy,0,3.522483439155621e-06,1
1088.npy,0,2.6859165700443555e-06,1
1089.npy,0,3.114223545708228e-06,1
1092.npy,1,3.849965196423e-06,1
1093.npy,1,3.6102510421187617e-06,1
1094.npy,1,2.345635039091576e-06,1
1095.npy,1,6.045899681339506e-06,1
1096.npy,1,5.598266852757661e-06,1
1097.npy,1,5.934276032348862e-06,1
1098.npy,1,3.4398854040773585e-06,1
1099.npy,0,3.916319201380247e-06,1
11.npy,1,2.279059856391541e-07,0
1100.npy,1,2.228522134828381e-06,1
1101.npy,0,3.454245188549976e-06,1
1103.npy,0,2.2967751647229302e-06,1
1104.npy,1,4.26153201260604e-06,1
1105.npy,1,3.993149221059866e-06,1
1106.npy,1,4.154998350713868e-06,1
1108.npy,0,5.361899638955947e-06,1
1109.npy,0,3.297070634289412e-06,1
1110.npy,0,5.896386937820353e-06,1
1111.npy,1,4.374311174615286e-06,1
1112.npy,1,5.85649559070589e-06,1
1113.npy,1,3.0322398743010126e-06,1
1114.npy,1,6.424844741559355e-06,1
1115.npy,1,4.355782948550768e-06,1
1117.npy,1,5.453136509459e-06,1
1119.npy,0,3.4363079066679347e-06,1
1120.npy,1,6.975905307626817e-06,1
1121.npy,0,2.518201654311269e-06,1
1122.npy,1,3.2979482966766227e-06,1
1123.npy,1,3.682881924760295e-06,1
1124.npy,1,4.416712272359291e-06,1
1125.npy,1,4.731085027742665e-06,1
1126.npy,0,4.417273885337636e-06,1
1127.npy,1,5.512362804438453e-06,1
1128.npy,1,6.069029950594995e-06,1
1129.npy,1,2.533852466513053e-06,1
1130.npy,0,3.3889909900608477e-06,1
1132.npy,1,2.7273122213955503e-06,1
1135.npy,1,4.593155153997941e-06,1
1136.npy,0,2.9823731892975047e-06,1
1139.npy,0,4.447218543646159e-06,1
1140.npy,0,2.5459698917984497e-06,1
1142.npy,1,7.274271411006339e-06,1
1143.npy,0,3.5901498449675277e-06,1
1146.npy,0,3.6438507322600336e-06,1
1147.npy,0,3.819747234956594e-06,1
1148.npy,0,2.459225925122155e-06,1
1149.npy,1,6.0204483816050924e-06,1
1150.npy,0,2.690657311177347e-06,1
1151.npy,1,3.8319340092130005e-06,1
1152.npy,1,4.10032498621149e-06,1
1153.npy,0,3.992976417066529e-06,1
1154.npy,0,3.4394083741062782e-06,1
1155.npy,1,3.993557129433611e-06,1
1156.npy,0,4.628212082025129e-06,1
1157.npy,0,3.305319069113466e-06,1
1158.npy,1,3.9693086364422925e-06,1
1159.npy,1,5.971268365101423e-06,1
1160.npy,1,2.6054576665046625e-06,1
1161.npy,1,2.9276698114699684e-06,1
1162.npy,1,3.377540451765526e-06,1
1163.npy,1,4.9519376261741854e-06,1
1164.npy,1,2.6311129204259487e-06,1
1166.npy,0,7.753588761261199e-06,1
1167.npy,0,2.505777047190349e-06,1
1169.npy,1,6.010242032061797e-06,1
1171.npy,1,6.102820407249965e-06,1
1173.npy,1,2.974506060127169e-06,1
1174.npy,1,3.0487956337310607e-06,1
1176.npy,1,5.619086550723296e-06,1
1177.npy,1,6.2472090576193295e-06,1
1178.npy,1,4.95429958391469e-06,1
1179.npy,1,3.0181565762177343e-06,1
1180.npy,1,4.502003775996855e-06,1
1182.npy,0,5.693407274520723e-06,1
1183.npy,0,4.423123755259439e-06,1
1185.npy,0,2.641184892127057e-06,1
1186.npy,0,2.8759518500010017e-06,1
1188.npy,1,2.991644578287378e-06,1
1189.npy,1,6.14892542216694e-06,1
1190.npy,1,3.235312760807574e-06,1
1193.npy,1,3.858913714793744e-06,1
1194.npy,0,4.993077709514182e-06,1
1195.npy,0,4.50948618890834e-06,1
1196.npy,1,3.476542133284965e-06,1
1197.npy,1,4.108438588446006e-06,1
1198.npy,0,4.554963652481092e-06,1
1199.npy,1,4.342352440289687e-06,1
12.npy,0,1.6311354045228654e-07,0
1200.npy,1,5.291865363687975e-06,1
1202.npy,0,1.9614908524090424e-06,1
1203.npy,0,3.1198483156913426e-06,1
1204.npy,0,4.435932623891858e-06,1
1205.npy,0,4.63969809061382e-06,1
1206.npy,0,3.9436026781913824e-06,1
1207.npy,0,3.704853043018375e-06,1
1208.npy,1,2.257265350635862e-06,1
1210.npy,1,5.457592124002986e-06,1
1211.npy,1,3.825201019935776e-06,1
1213.npy,0,6.2688163779967e-06,1
1219.npy,1,4.084110514668282e-06,1
1221.npy,1,3.2370223834732315e-06,1
1223.npy,1,4.47519778390415e-06,1
1224.npy,1,2.7199180294701364e-06,1
1227.npy,1,5.613855591946049e-06,1
1228.npy,0,3.400835794309387e-06,1
1229.npy,0,3.09534152620472e-06,1
1230.npy,0,3.382139766472392e-06,1
1231.npy,1,5.152213816472795e-06,1
1232.npy,0,3.1826573376747547e-06,1
1234.npy,0,3.17537796945544e-06,1
1235.npy,0,3.3115409223682946e-06,1
1236.npy,0,5.3993471738067456e-06,1
1237.npy,1,3.6185460885462817e-06,1
1238.npy,1,3.7824900118721416e-06,1
1239.npy,1,4.205475306662265e-06,1
1240.npy,0,4.399934368848335e-06,1
1241.npy,1,2.6558666377241025e-06,1
1242.npy,0,6.576971827598754e-06,1
1243.npy,1,2.164918896596646e-06,1
1244.npy,1,2.641279479576042e-06,1
1245.npy,1,5.300426892063115e-06,1
1246.npy,1,4.3208833631069865e-06,1
1248.npy,1,4.268296834197827e-06,1
1249.npy,1,4.195099336357089e-06,1
1250.npy,1,3.024688794539543e-06,1
1251.npy,0,4.825941687158775e-06,1
1252.npy,0,2.975067218358163e-06,1
1253.npy,0,2.7732933176594088e-06,1
1254.npy,1,4.9877889978233725e-06,1
1255.npy,1,3.722365818248363e-06,1
1256.npy,1,3.6250933135306695e-06,1
1258.npy,0,3.386572188901482e-06,1
1261.npy,1,3.430439846852096e-06,1
1263.npy,0,3.904335244442336e-06,1
1264.npy,0,4.627317139238585e-06,1
1265.npy,0,8.257127774413675e-06,1
1266.npy,0,4.759641342388932e-06,1
1268.npy,0,3.1636941457691137e-06,1
1269.npy,0,3.294667749287328e-06,1
1270.npy,0,3.5661882975546177e-06,1
1271.npy,1,7.235297744045965e-06,1
1272.npy,1,3.083707724726992e-06,1
1273.npy,1,3.4762492759909942e-06,1
1274.npy,1,4.759148396260571e-06,1
1275.npy,1,3.7744416658824775e-06,1
1276.npy,0,4.17935643781675e-06,1
1277.npy,0,2.656701099112979e-06,1
1278.npy,0,5.203845830692444e-06,1
1279.npy,0,3.457171260379255e-06,1
1281.npy,0,2.76093351203599e-06,1
1282.npy,0,3.96415180148324e-06,1
1283.npy,0,2.547541271269438e-06,1
1284.npy,0,2.89436229650164e-06,1
1285.npy,0,4.676770004152786e-06,1
1286.npy,0,3.364275926287519e-06,1
1287.npy,1,4.571646059048362e-06,1
1288.npy,0,5.639283699565567e-06,1
1289.npy,0,5.810185939481016e-06,1
1290.npy,0,5.906138994760113e-06,1
1291.npy,0,5.855860763404053e-06,1
1292.npy,0,4.091805749339983e-06,1
1293.npy,0,4.152360816078726e-06,1
1294.npy,0,3.206327619409421e-06,1
1295.npy,0,1.781678520273999e-06,1
1296.npy,0,3.8383586797863245e-06,1
1297.npy,0,8.17491854832042e-06,1
1298.npy,0,3.981849658885039e-06,1
1299.npy,0,4.461518983589485e-06,1
1300.npy,1,6.058693088561995e-06,1
1301.npy,0,3.0142118703224696e-06,1
1302.npy,0,4.9206037147087045e-06,1
1304.npy,0,7.183964498835849e-06,1
1305.npy,1,3.416827212276985e-06,1
1307.npy,0,3.295181613793829e-06,1
1308.npy,0,3.433290430621128e-06,1
1309.npy,0,4.295046892366372e-06,1
1310.npy,0,4.403119419293944e-06,1
1311.npy,0,3.748350081878016e-06,1
1312.npy,0,4.178256858722307e-06,1
1313.npy,0,2.417208179394948e-06,1
1314.npy,0,3.280067176092416e-06,1
1316.npy,0,6.146620307845296e-06,1
1317.npy,0,3.9818933146307245e-06,1
1318.npy,0,8.476703442283906e-06,1
1319.npy,0,3.6601736610464286e-06,1
1320.npy,0,4.406880634633126e-06,1
1321.npy,0,8.715433068573475e-06,1
1322.npy,0,3.620674760895781e-06,1
1323.npy,1,4.265080860932358e-06,1
1326.npy,0,3.5029206628678367e-06,1
1327.npy,0,4.972538590664044e-06,1
1328.npy,0,3.519469828461297e-06,1
1329.npy,0,7.2407847255817614e-06,1
1330.npy,0,4.954861651640385e-06,1
1331.npy,0,2.845309154508868e-06,1
1333.npy,0,2.897137846957776e-06,1
1334.npy,1,6.3072448028833605e-06,1
1336.npy,0,2.2433396225096658e-06,1
1337.npy,0,6.7616242631629575e-06,1
1338.npy,1,2.140913011317025e-06,1
1341.npy,1,3.3006053854478523e-06,1
1343.npy,0,5.297618827171391e-06,1
1344.npy,0,4.311932570999488e-06,1
1345.npy,0,3.4710756153799598e-06,1
1346.npy,0,5.466689344757469e-06,1
1347.npy,0,2.918491645687027e-06,1
1348.npy,0,1.7057370769180125e-06,1
1349.npy,0,2.4008165837585693e-06,1
1352.npy,1,2.560071152402088e-06,1
1354.npy,0,3.4534596125013195e-06,1
1355.npy,1,4.326893758843653e-06,1
1357.npy,1,3.932846539100865e-06,1
1358.npy,1,4.653184078051709e-06,1
1359.npy,1,5.254810275800992e-06,1
1360.npy,1,4.683872248278931e-06,1
1361.npy,1,6.131922418717295e-06,1
1362.npy,1,3.226515673304675e-06,1
1363.npy,1,2.019866315094987e-06,1
1364.npy,1,5.785679604741745e-06,1
1365.npy,1,4.671256192523288e-06,1
1366.npy,1,3.633881760833901e-06,1
1367.npy,1,3.755073521460872e-06,1
1368.npy,1,5.607857019640505e-06,1
1369.npy,1,5.225172571954317e-06,1
1370.npy,0,4.721655386674684e-06,1
1371.npy,0,4.7412613639608026e-06,1
1373.npy,1,3.359320544404909e-06,1
1374.npy,1,3.832406036963221e-06,1
1377.npy,0,3.364117446835735e-06,1
1378.npy,1,3.344332526467042e-06,1
1379.npy,0,2.742419383139349e-06,1
1380.npy,1,5.848863111168612e-06,1
1381.npy,0,6.6301536207902245e-06,1
1382.npy,0,3.592467919588671e-06,1
1383.npy,0,4.880980668531265e-06,1
1386.npy,1,2.283638195876847e-06,1
1387.npy,1,4.440339580469299e-06,1
1388.npy,1,2.3634688659512904e-06,1
1390.npy,1,3.1548638617096003e-06,1
1391.npy,1,3.770134753722232e-06,1
1393.npy,0,4.156449904257897e-06,1
1394.npy,1,4.828253622690681e-06,1
1395.npy,1,2.397243406448979e-06,1
1396.npy,1,6.192520231707022e-06,1
1398.npy,0,2.353032868995797e-06,1
1399.npy,1,3.723484951478895e-06,1
14.npy,1,2.3767366030824638e-07,0
1400.npy,1,3.605454594435287e-06,1
1402.npy,0,3.736098733497784e-06,1
1403.npy,1,4.247518518241122e-06,1
1404.npy,1,4.087724846613128e-06,1
1405.npy,1,3.780874976655468e-06,1
1406.npy,1,3.705001290654764e-06,1
1408.npy,1,5.231378054304514e-06,1
1409.npy,1,2.761232735792873e-06,1
1410.npy,1,2.0159623090876262e-06,1
1411.npy,0,7.1719009611115325e-06,1
1412.npy,0,3.692458449222613e-06,1
1413.npy,0,3.0546825655619614e-06,1
1415.npy,0,2.345545908610802e-06,1
1416.npy,0,2.671654783625854e-06,1
1417.npy,0,3.758523234864697e-06,1
1418.npy,0,1.8983557765750447e-06,1
1419.npy,1,3.502851086523151e-06,1
1420.npy,0,3.4234521990583744e-06,1
1421.npy,0,3.5247094274382107e-06,1
1422.npy,0,3.485042725515086e-06,1
1423.npy,0,4.0964132494991645e-06,1
1424.npy,0,2.156682967324741e-06,1
1425.npy,0,2.0885252070002025e-06,1
1426.npy,0,4.4934722609468736e-06,1
1428.npy,0,4.081758561369497e-06,1
1429.npy,0,4.521855771599803e-06,1
1432.npy,1,4.861998604610562e-06,1
1433.npy,1,2.2562339836440515e-06,1
1434.npy,0,4.944529791828245e-06,1
1437.npy,0,3.092624410783173e-06,1
1439.npy,0,2.094012870657025e-06,1
1440.npy,0,1.4464715150097618e-06,1
1441.npy,0,4.241753231326584e-06,1
1442.npy,0,3.731653350769193e-06,1
1443.npy,0,4.374140189611353e-06,1
1444.npy,0,2.945418145827716e-06,1
1447.npy,1,3.806651648119441e-06,1
1448.npy,1,4.776698006025981e-06,1
1449.npy,1,5.904143108637072e-06,1
1450.npy,1,4.958592398907058e-06,1
1452.npy,1,4.359457307145931e-06,1
1453.npy,0,2.4913179004215635e-06,1
1454.npy,0,3.7030677049187935e-06,1
1455.npy,0,2.67432051259675e-06,1
1456.npy,0,2.9658954190381337e-06,1
1457.npy,0,3.905552603100659e-06,1
1458.npy,0,2.615496214275481e-06,1
1459.npy,0,2.5937338250514586e-06,1
1461.npy,1,5.036411948822206e-06,1
1462.npy,1,3.980119799962267e-06,1
1463.npy,1,4.584371708915569e-06,1
1464.npy,0,3.5189395930501632e-06,1
1466.npy,1,3.61750380761805e-06,1
1468.npy,0,3.1743052204546984e-06,1
1469.npy,0,2.763890734058805e-06,1
1470.npy,0,2.686522748263087e-06,1
1472.npy,1,3.538302507877233e-06,1
1474.npy,0,3.195960971424938e-06,1
1475.npy,0,2.3502952899434604e-06,1
1476.npy,0,3.2174148145713843e-06,1
1477.npy,0,4.279080258129397e-06,1
1478.npy,1,3.538376631695428e-06,1
1479.npy,0,3.963345079682767e-06,1
1480.npy,1,1.9557755877031013e-06,1
1481.npy,0,4.149083906668238e-06,1
1482.npy,0,4.161866399954306e-06,1
1483.npy,0,3.4764630072459117e-06,1
1484.npy,1,5.583418897003867e-06,1
1485.npy,1,6.443101938202744e-06,1
1487.npy,1,5.060880084784003e-06,1
1488.npy,1,3.5742425552598438e-06,1
1489.npy,1,9.401588613400236e-06,1
1490.npy,1,2.942519586213166e-06,1
1491.npy,1,2.636946874190471e-06,1
1492.npy,1,2.7732614853448467e-06,1
1493.npy,1,4.767942300532013e-06,1
1494.npy,0,2.393770273556584e-06,1
1497.npy,1,4.025273483421188e-06,1
1498.npy,1,3.1665031201555398e-06,1
1499.npy,0,3.460716925474117e-06,1
15.npy,1,1.798231608063361e-07,0
1500.npy,0,3.369686055521015e-06,1
1501.npy,0,3.7110526136530098e-06,1
1502.npy,0,3.697436113725416e-06,1
1503.npy,1,5.6856115406844765e-06,1
1504.npy,1,2.238726665382273e-06,1
1505.npy,1,4.547790013020858e-06,1
1506.npy,1,4.420387540449156e-06,1
1507.npy,1,3.863897291012108e-06,1
1510.npy,0,3.0682645046908874e-06,1
1512.npy,0,4.923894266539719e-06,1
1514.npy,1,3.16102978104027e-06,1
1516.npy,0,3.7775189412059262e-06,1
1517.npy,0,4.896535301668337e-06,1
1518.npy,0,5.776721991423983e-06,1
1519.npy,1,3.665967597044073e-06,1
1522.npy,1,2.7711726033885498e-06,1
1524.npy,0,3.740088914128137e-06,1
1525.npy,0,4.806843662663596e-06,1
1526.npy,1,3.1868139558355324e-06,1
1527.npy,1,3.929966624127701e-06,1
1528.npy,1,1.8286417571289348e-06,1
1529.npy,0,2.8964657303731656e-06,1
1531.npy,0,3.557163836376276e-06,1
1532.npy,0,3.150994189127232e-06,1
1534.npy,1,3.4213135222671558e-06,1
1535.npy,0,2.10789175980608e-06,1
1536.npy,0,2.6843772502616048e-06,1
1537.npy,0,4.184466888546012e-06,1
1538.npy,0,3.646931418188615e-06,1
1539.npy,1,4.511490260483697e-06,1
1540.npy,1,6.213585947989486e-06,1
1542.npy,1,5.138918822922278e-06,1
1543.npy,1,2.6310990506317462e-06,1
1544.npy,0,3.443892182986019e-06,1
1547.npy,1,5.926086487306748e-06,1
1548.npy,0,3.124160230072448e-06,1
1549.npy,0,4.664178504754091e-06,1
1550.npy,0,4.86319277115399e-06,1
1552.npy,0,3.7140384847589294e-06,1
1553.npy,0,4.307532435632311e-06,1
1554.npy,0,6.953082447580528e-06,1
1555.npy,1,3.5974708225694485e-06,1
1556.npy,1,5.3446829042513855e-06,1
1558.npy,1,5.178756964596687e-06,1
1560.npy,1,5.227292149356799e-06,1
1561.npy,0,2.9903999347880017e-06,1
1562.npy,0,4.455557700566715e-06,1
1563.npy,1,3.762251253647264e-06,1
1565.npy,0,4.789420017914381e-06,1
1566.npy,0,3.99369491788093e-06,1
1568.npy,1,1.932550730998628e-06,1
1572.npy,1,5.063608114141971e-06,1
1573.npy,1,3.831244612229057e-06,1
1574.npy,1,4.00245698983781e-06,1
1575.npy,1,2.924306045315461e-06,1
1576.npy,1,3.0642067940789275e-06,1
1577.npy,0,2.774189852061681e-06,1
1579.npy,1,4.259479283064138e-06,1
1580.npy,1,3.1558674891130067e-06,1
1581.npy,0,3.873586138070095e-06,1
1582.npy,1,2.104001850966597e-06,1
1583.npy,1,4.893174263997935e-06,1
1584.npy,1,5.15651026944397e-06,1
1585.npy,1,3.637858526417404e-06,1
1587.npy,1,3.570357876014896e-06,1
1589.npy,1,1.7458071397413732e-06,1
1590.npy,0,3.577691131795291e-06,1
1592.npy,1,3.681049065562547e-06,1
1593.npy,0,4.8158808567677625e-06,1
1594.npy,1,3.958133220294258e-06,1
1595.npy,1,1.5744747088319857e-06,1
1596.npy,1,4.441907094587805e-06,1
1597.npy,1,7.559994628536515e-06,1
1598.npy,0,5.2793602662859485e-06,1
1599.npy,1,3.455395471974043e-06,1
16.npy,1,2.142310364661171e-07,0
1602.npy,1,3.402197762625292e-06,1
1604.npy,0,2.217398787252023e-06,1
1606.npy,0,3.106313215539558e-06,1
1607.npy,1,3.51157427758153e-06,1
1608.npy,1,3.828915851045167e-06,1
1609.npy,1,3.005859070981387e-06,1
1611.npy,1,5.636135028908029e-06,1
1613.npy,1,3.3655501283647027e-06,1
1614.npy,1,3.341429419378983e-06,1
1615.npy,1,2.139890057151206e-06,1
1616.npy,1,4.470430212677456e-06,1
1617.npy,0,5.080668415757828e-06,1
1618.npy,1,2.8597232812899165e-06,1
1619.npy,1,2.599045046736137e-06,1
1621.npy,1,3.5439027215034e-06,1
1623.npy,1,2.8575932446983643e-06,1
1626.npy,1,1.6272689435936627e-06,1
1627.npy,0,3.0653250178147573e-06,1
1628.npy,1,4.863092726736795e-06,1
1630.npy,0,2.6631553282641107e-06,1
1633.npy,1,2.296552111147321e-06,1
1635.npy,1,6.743799531250261e-06,1
1636.npy,1,3.91741332350648e-06,1
1637.npy,1,2.8833767373726005e-06,1
1638.npy,1,3.35392701344972e-06,1
1639.npy,1,3.333601853228174e-06,1
1641.npy,0,2.634770680742804e-06,1
1642.npy,0,2.6953521228278987e-06,1
1643.npy,1,5.888874511583708e-06,1
1645.npy,1,2.5471215394645697e-06,1
1646.npy,1,5.191685431782389e-06,1
1647.npy,1,4.892306606052443e-06,1
1648.npy,1,2.7609962671704125e-06,1
1652.npy,1,3.003219717356842e-06,1
1653.npy,1,3.687067419377854e-06,1
1655.npy,1,3.103673861915013e-06,1
1656.npy,0,4.4032085497747175e-06,1
1657.npy,1,2.7825942652270896e-06,1
1658.npy,1,3.7520112528000023e-06,1
1659.npy,1,3.814308456639992e-06,1
1660.npy,1,5.692697413905989e-06,1
1662.npy,0,2.3620243609911995e-06,1
1663.npy,0,1.990992132050451e-06,1
1665.npy,1,4.11548899137415e-06,1
1666.npy,1,4.94278310725349e-06,1
1667.npy,1,5.333538865670562e-06,1
1670.npy,1,3.2207292406383203e-06,1
1672.npy,1,3.542785862009623e-06,1
1673.npy,1,3.5416369428276084e-06,1
1674.npy,1,2.858502739400137e-06,1
1675.npy,1,4.554441147774924e-06,1
1676.npy,1,3.658444256871008e-06,1
1677.npy,1,3.5452544580039103e-06,1
1678.npy,1,4.264761628292035e-06,1
1679.npy,1,2.781958301056875e-06,1
1680.npy,1,2.237578883068636e-06,1
1681.npy,1,2.980608769576065e-06,1
1682.npy,1,2.5523786462144926e-06,1
1683.npy,1,3.288353582320269e-06,1
1689.npy,0,3.7695035643992014e-06,1
1690.npy,0,3.900519914168399e-06,1
1692.npy,1,3.865438884531613e-06,1
1693.npy,1,3.719377673405688e-06,1
1694.npy,1,3.524237627061666e-06,1
1695.npy,1,2.894639692385681e-06,1
1698.npy,1,4.7880839701974764e-06,1
1699.npy,1,4.739817995869089e-06,1
17.npy,1,2.550414137658663e-07,0
1700.npy,1,4.108262146473862e-06,1
1704.npy,0,2.0959414541721344e-06,1
1705.npy,0,2.253135789942462e-06,1
1709.npy,0,4.79656546303886e-06,1
171.npy,1,7.006958639976801e-07,1
1712.npy,1,4.774934950546594e-06,1
1713.npy,1,5.462973604153376e-06,1
1714.npy,1,1.8841561768567767e-06,1
1716.npy,1,3.4431936910550576e-06,1
1719.npy,0,4.135946255701128e-06,1
172.npy,1,6.986040830270213e-07,1
1720.npy,1,3.2774782994238194e-06,1
1723.npy,0,3.015166839759331e-06,1
1724.npy,1,5.357436748454347e-06,1
1725.npy,0,7.331567303481279e-06,1
1727.npy,1,4.6806289901724085e-06,1
1729.npy,1,4.949176400259603e-06,1
173.npy,1,5.319139972925768e-07,1
1730.npy,0,2.8378422030073125e-06,1
1732.npy,0,2.826025138347177e-06,1
1733.npy,1,4.253767656337004e-06,1
1735.npy,0,8.262857591034845e-06,1
1737.npy,1,2.8619178920052946e-06,1
1738.npy,1,3.258887318224879e-06,1
174.npy,1,6.251569857340655e-07,1
1740.npy,0,3.5259508877061307e-06,1
1741.npy,0,4.079304289916763e-06,1
1742.npy,1,5.135565970704192e-06,1
1743.npy,0,6.163308171380777e-06,1
1744.npy,0,5.243649866315536e-06,1
1745.npy,1,4.902909040538361e-06,1
1746.npy,0,5.182716904528206e-06,1
1747.npy,1,4.406168045534287e-06,1
1748.npy,1,5.922801392443944e-06,1
1749.npy,1,2.9465995794453197e-06,1
175.npy,1,6.360035058605717e-07,1
1750.npy,1,3.799959358730121e-06,1
1753.npy,0,2.035758370766416e-06,1
1754.npy,1,5.34792206963175e-06,1
1755.npy,1,3.145457412756514e-06,1
1757.npy,1,3.085516709688818e-06,1
1759.npy,1,4.7911516958265565e-06,1
176.npy,1,6.124183755673585e-07,1
1760.npy,0,3.901239324477501e-06,1
1761.npy,1,4.108667781110853e-06,1
1762.npy,1,3.842513251584023e-06,1
1764.npy,1,2.462343445586157e-06,1
1766.npy,1,5.020066055294592e-06,1
1767.npy,0,2.890973973990185e-06,1
177.npy,1,5.265217168926029e-07,0
1772.npy,1,1.971895926544676e-06,1
1773.npy,1,4.800633178092539e-06,1
1777.npy,1,1.5011647747087409e-06,1
178.npy,1,4.2847725012507e-07,0
1780.npy,1,4.851494850299787e-06,1
1781.npy,1,4.642885869543534e-06,1
1782.npy,0,3.6994183574279305e-06,1
1783.npy,1,5.753377990913577e-06,1
1785.npy,1,2.935293196060229e-06,1
1787.npy,1,3.0809537747700237e-06,1
1788.npy,1,3.676033884403296e-06,1
179.npy,1,4.36573401429996e-07,0
1790.npy,1,4.14834084949689e-06,1
1791.npy,1,2.4677081000845646e-06,1
1792.npy,1,3.739259227586445e-06,1
1794.npy,1,3.1265776669897605e-06,1
1795.npy,1,3.021401198566309e-06,1
1796.npy,1,3.1098111321625765e-06,1
1797.npy,1,6.434773240471259e-06,1
1798.npy,1,1.848833335316158e-06,1
1799.npy,1,5.620949195872527e-06,1
18.npy,1,1.5290504506992877e-07,0
180.npy,1,5.041434860686422e-07,0
181.npy,1,6.782829018447956e-07,1
182.npy,1,3.8930528489800054e-07,0
183.npy,1,6.190236945258221e-07,1
184.npy,1,7.244136099870957e-07,1
185.npy,1,4.72490341962839e-07,0
186.npy,1,4.987023771718668e-07,0
187.npy,1,8.86497218743898e-07,1
188.npy,1,6.623120043514064e-07,1
189.npy,1,7.036421720840735e-07,1
19.npy,1,2.169876864854814e-07,0
190.npy,1,7.007756153143418e-07,1
191.npy,1,8.957728141467669e-07,1
192.npy,1,8.736191148273065e-07,1
193.npy,1,5.684195798494329e-07,1
194.npy,1,6.458230359385198e-07,1
195.npy,1,4.070008401413361e-07,0
196.npy,1,4.468682845981675e-07,0
197.npy,1,4.420504637892009e-07,0
198.npy,1,6.312362188509724e-07,1
199.npy,1,9.443779731554968e-07,1
2.npy,1,2.279683428696444e-07,0
20.npy,1,2.684209619019384e-07,0
200.npy,1,8.994590530164714e-07,1
201.npy,1,6.249364332688856e-07,1
202.npy,1,6.89388230057375e-07,1
203.npy,1,8.555759904993465e-07,1
204.npy,1,9.468936923440195e-07,1
205.npy,1,9.813866199692711e-07,1
206.npy,1,8.09273501545249e-07,1
207.npy,1,6.249213129194686e-07,1
208.npy,1,5.222238996793749e-07,0
209.npy,1,5.121719937051239e-07,0
21.npy,1,3.138596866847365e-07,0
210.npy,1,5.456485041577253e-07,1
211.npy,1,5.456485041577253e-07,1
212.npy,1,5.456485041577253e-07,1
